FromStationCode,ToStationCode,DistanceMiles,DistanceMinutes
A01,A02,0.75,2.0
A01,A03,1.23,4.0
A01,A04,2.4,6.0
A01,A05,3.1,9.0
A01,A06,3.73,11.0
A01,A07,4.7,13.0
A01,A08,5.46,15.0
A01,A09,7.14,18.0
A01,A10,8.15,20.0
A01,A11,10.34,23.0
A01,A12,11.72,26.0
A01,A13,12.81,29.0
A01,A14,14.77,32.0
A01,A15,17.44,36.0
A01,B01,0.29,2.0
A01,B02,0.64,4.0
A01,B03,1.21,6.0
A01,B04,2.69,10.0
A01,B05,3.46,12.0
A01,B06,4.55,15.0
A01,B07,6.24,18.0
A01,B08,7.54,21.0
A01,B09,9.14,24.0
A01,B10,10.74,27.0
A01,B11,12.46,31.0
A01,B35,1.72,8.0
A01,C01,,
A01,C02,0.41,1.0
A01,C03,0.77,2.0
A01,C04,1.28,4.0
A01,C05,2.5,7.0
A01,C06,2.87,9.0
A01,C07,2.97,12.0
A01,C08,3.56,13.0
A01,C09,3.93,15.0
A01,C10,4.29,17.0
A01,C11,5.8,20.0
A01,C12,7.2,22.0
A01,C13,7.82,24.0
A01,C14,8.46,29.0
A01,C15,8.98,30.0
A01,D01,0.3,1.0
A01,D02,0.67,3.0
A01,D03,1.07,5.0
A01,D04,1.31,7.0
A01,D05,1.81,9.0
A01,D06,2.28,11.0
A01,D07,2.89,13.0
A01,D08,3.39,14.0
A01,D09,5.21,18.0
A01,D10,5.98,20.0
A01,D11,7.11,22.0
A01,D12,8.84,25.0
A01,D13,10.22,28.0
A01,E01,0.75,9.0
A01,E02,1.21,10.0
A01,E03,1.55,12.0
A01,E04,2.37,14.0
A01,E05,3.15,17.0
A01,E06,4.55,15.0
A01,E07,6.1,23.0
A01,E08,7.22,26.0
A01,E09,9.04,29.0
A01,E10,11.43,32.0
A01,F01,0.29,2.0
A01,F02,0.56,8.0
A01,F03,1.07,5.0
A01,F04,1.78,12.0
A01,F05,2.26,14.0
A01,F06,3.37,16.0
A01,F07,4.64,19.0
A01,F08,5.49,21.0
A01,F09,6.21,24.0
A01,F10,7.57,26.0
A01,F11,9.26,29.0
A01,G01,5.66,17.0
A01,G02,7.12,20.0
A01,G03,8.1,23.0
A01,G04,9.56,26.0
A01,G05,10.86,29.0
A01,J02,10.83,29.0
A01,J03,14.14,35.0
A01,K01,3.51,10.0
A01,K02,4.0,12.0
A01,K03,4.46,13.0
A01,K04,5.02,15.0
A01,K05,7.41,19.0
A01,K06,9.29,22.0
A01,K07,11.53,26.0
A01,K08,14.01,29.0
A01,N01,11.24,27.0
A01,N02,11.84,29.0
A01,N03,12.55,31.0
A01,N04,13.14,33.0
A01,N06,18.79,41.0
A01,N07,19.91,43.0
A01,N08,21.25,46.0
A01,N09,22.96,49.0
A01,N10,24.84,53.0
A01,N11,26.88,59.0
A01,N12,28.78,63.0
A02,A01,0.75,2.0
A02,A03,0.51,2.0
A02,A04,1.7,4.0
A02,A05,2.41,7.0
A02,A06,3.04,9.0
A02,A07,3.99,11.0
A02,A08,4.76,13.0
A02,A09,6.45,16.0
A02,A10,7.47,18.0
A02,A11,9.67,21.0
A02,A12,11.05,24.0
A02,A13,12.14,27.0
A02,A14,14.1,30.0
A02,A15,16.76,34.0
A02,B01,1.02,4.0
A02,B02,1.38,6.0
A02,B03,1.94,8.0
A02,B04,3.25,12.0
A02,B05,3.95,14.0
A02,B06,4.93,17.0
A02,B07,6.52,20.0
A02,B08,7.78,23.0
A02,B09,9.34,26.0
A02,B10,10.94,29.0
A02,B11,12.66,33.0
A02,B35,2.37,10.0
A02,C01,0.75,2.0
A02,C02,0.8,8.0
A02,C03,0.88,9.0
A02,C04,1.37,11.0
A02,C05,2.61,14.0
A02,C06,3.11,16.0
A02,C07,3.38,17.0
A02,C08,3.97,18.0
A02,C09,4.4,20.0
A02,C10,4.8,22.0
A02,C11,6.32,25.0
A02,C12,7.71,27.0
A02,C13,8.32,29.0
A02,C14,8.94,31.0
A02,C15,9.45,32.0
A02,D01,0.99,8.0
A02,D02,1.32,10.0
A02,D03,1.77,12.0
A02,D04,2.04,14.0
A02,D05,2.55,16.0
A02,D06,3.03,18.0
A02,D07,3.64,20.0
A02,D08,4.13,21.0
A02,D09,5.91,25.0
A02,D10,6.67,27.0
A02,D11,7.78,29.0
A02,D12,9.48,32.0
A02,D13,10.85,35.0
A02,E01,1.31,11.0
A02,E02,1.66,12.0
A02,E03,1.88,14.0
A02,E04,2.61,16.0
A02,E05,3.45,19.0
A02,E06,4.93,17.0
A02,E07,6.58,25.0
A02,E08,7.71,28.0
A02,E09,9.55,31.0
A02,E10,11.9,34.0
A02,F01,1.02,4.0
A02,F02,1.3,10.0
A02,F03,1.77,12.0
A02,F04,2.47,14.0
A02,F05,2.99,16.0
A02,F06,4.1,18.0
A02,F07,5.35,21.0
A02,F08,6.22,23.0
A02,F09,6.95,26.0
A02,F10,8.32,28.0
A02,F11,10.01,31.0
A02,G01,6.38,24.0
A02,G02,7.84,27.0
A02,G03,8.82,30.0
A02,G04,10.27,33.0
A02,G05,11.57,36.0
A02,J02,11.18,36.0
A02,J03,14.47,42.0
A02,K01,3.64,17.0
A02,K02,4.15,19.0
A02,K03,4.61,20.0
A02,K04,5.16,22.0
A02,K05,7.52,26.0
A02,K06,9.37,29.0
A02,K07,11.63,33.0
A02,K08,14.12,36.0
A02,N01,11.3,34.0
A02,N02,11.9,36.0
A02,N03,12.61,38.0
A02,N04,13.2,40.0
A02,N06,18.84,48.0
A02,N07,19.96,50.0
A02,N08,21.3,53.0
A02,N09,23.01,56.0
A02,N10,24.89,60.0
A02,N11,26.92,66.0
A02,N12,28.82,70.0
A03,A01,1.23,4.0
A03,A02,0.51,2.0
A03,A04,1.19,2.0
A03,A05,1.9,5.0
A03,A06,2.53,7.0
A03,A07,3.48,9.0
A03,A08,4.25,11.0
A03,A09,5.94,14.0
A03,A10,6.96,16.0
A03,A11,9.16,19.0
A03,A12,10.54,22.0
A03,A13,11.63,25.0
A03,A14,13.58,28.0
A03,A15,16.25,32.0
A03,B01,1.48,6.0
A03,B02,1.84,8.0
A03,B03,2.37,10.0
A03,B04,3.52,14.0
A03,B05,4.16,16.0
A03,B06,5.05,19.0
A03,B07,6.58,22.0
A03,B08,7.81,25.0
A03,B09,9.37,28.0
A03,B10,10.95,31.0
A03,B11,12.67,35.0
A03,B35,2.73,12.0
A03,C01,1.23,4.0
A03,C02,1.28,10.0
A03,C03,1.37,11.0
A03,C04,1.69,13.0
A03,C05,2.87,16.0
A03,C06,3.48,18.0
A03,C07,3.83,19.0
A03,C08,4.42,20.0
A03,C09,4.87,22.0
A03,C10,5.29,24.0
A03,C11,6.8,27.0
A03,C12,8.18,29.0
A03,C13,8.79,31.0
A03,C14,9.4,33.0
A03,C15,9.91,34.0
A03,D01,1.49,10.0
A03,D02,1.83,12.0
A03,D03,2.28,14.0
A03,D04,2.54,16.0
A03,D05,3.04,18.0
A03,D06,3.5,20.0
A03,D07,4.11,22.0
A03,D08,4.57,23.0
A03,D09,6.3,27.0
A03,D10,7.03,29.0
A03,D11,8.12,31.0
A03,D12,9.79,34.0
A03,D13,11.14,37.0
A03,E01,1.67,13.0
A03,E02,1.91,14.0
A03,E03,2.05,16.0
A03,E04,2.68,18.0
A03,E05,3.54,21.0
A03,E06,5.05,19.0
A03,E07,6.76,27.0
A03,E08,7.89,30.0
A03,E09,9.74,33.0
A03,E10,12.06,36.0
A03,F01,1.48,6.0
A03,F02,1.79,12.0
A03,F03,2.28,14.0
A03,F04,2.98,16.0
A03,F05,3.49,18.0
A03,F06,4.6,20.0
A03,F07,5.85,23.0
A03,F08,6.72,25.0
A03,F09,7.44,28.0
A03,F10,8.8,30.0
A03,F11,10.49,33.0
A03,G01,6.79,26.0
A03,G02,8.24,29.0
A03,G03,9.22,32.0
A03,G04,10.65,35.0
A03,G05,11.94,38.0
A03,J02,11.57,38.0
A03,J03,14.86,44.0
A03,K01,3.9,19.0
A03,K02,4.41,21.0
A03,K03,4.87,22.0
A03,K04,5.42,24.0
A03,K05,7.72,28.0
A03,K06,9.53,31.0
A03,K07,11.82,35.0
A03,K08,14.31,38.0
A03,N01,11.42,36.0
A03,N02,12.03,38.0
A03,N03,12.74,40.0
A03,N04,13.32,42.0
A03,N06,18.95,50.0
A03,N07,20.07,52.0
A03,N08,21.41,55.0
A03,N09,23.12,58.0
A03,N10,25.01,62.0
A03,N11,27.02,68.0
A03,N12,28.92,72.0
A04,A01,2.4,6.0
A04,A02,1.7,4.0
A04,A03,1.19,2.0
A04,A05,0.71,3.0
A04,A06,1.34,5.0
A04,A07,2.31,7.0
A04,A08,3.07,9.0
A04,A09,4.75,12.0
A04,A10,5.77,14.0
A04,A11,7.97,17.0
A04,A12,9.35,20.0
A04,A13,10.44,23.0
A04,A14,12.39,26.0
A04,A15,15.06,30.0
A04,B01,2.63,8.0
A04,B02,2.98,10.0
A04,B03,3.46,12.0
A04,B04,4.31,16.0
A04,B05,4.79,18.0
A04,B06,5.45,21.0
A04,B07,6.77,24.0
A04,B08,7.92,27.0
A04,B09,9.43,30.0
A04,B10,11.01,33.0
A04,B11,12.73,37.0
A04,B35,3.72,14.0
A04,C01,2.4,6.0
A04,C02,2.46,12.0
A04,C03,2.56,13.0
A04,C04,2.79,15.0
A04,C05,3.72,18.0
A04,C06,4.5,20.0
A04,C07,4.94,21.0
A04,C08,5.51,22.0
A04,C09,6.0,24.0
A04,C10,6.44,26.0
A04,C11,7.94,29.0
A04,C12,9.31,31.0
A04,C13,9.9,33.0
A04,C14,10.49,35.0
A04,C15,10.99,36.0
A04,D01,2.67,12.0
A04,D02,3.02,14.0
A04,D03,3.46,16.0
A04,D04,3.71,18.0
A04,D05,4.18,20.0
A04,D06,4.62,22.0
A04,D07,5.22,24.0
A04,D08,5.64,25.0
A04,D09,7.26,29.0
A04,D10,7.92,31.0
A04,D11,8.96,33.0
A04,D12,10.56,36.0
A04,D13,11.86,39.0
A04,E01,2.73,15.0
A04,E02,2.84,16.0
A04,E03,2.89,18.0
A04,E04,3.15,20.0
A04,E05,3.93,23.0
A04,E06,5.45,21.0
A04,E07,7.29,29.0
A04,E08,8.39,32.0
A04,E09,10.25,35.0
A04,E10,12.49,38.0
A04,F01,2.63,8.0
A04,F02,2.96,14.0
A04,F03,3.46,16.0
A04,F04,4.17,18.0
A04,F05,4.66,20.0
A04,F06,5.78,22.0
A04,F07,7.04,25.0
A04,F08,7.9,27.0
A04,F09,8.58,30.0
A04,F10,9.93,32.0
A04,F11,11.62,35.0
A04,G01,7.78,28.0
A04,G02,9.21,31.0
A04,G03,10.19,34.0
A04,G04,11.58,37.0
A04,G05,12.84,40.0
A04,J02,12.53,40.0
A04,J03,15.79,46.0
A04,K01,4.67,21.0
A04,K02,5.16,23.0
A04,K03,5.61,24.0
A04,K04,6.12,26.0
A04,K05,8.28,30.0
A04,K06,9.97,33.0
A04,K07,12.31,37.0
A04,K08,14.78,40.0
A04,N01,11.74,38.0
A04,N02,12.37,40.0
A04,N03,13.08,42.0
A04,N04,13.63,44.0
A04,N06,19.24,52.0
A04,N07,20.35,54.0
A04,N08,21.7,57.0
A04,N09,23.39,60.0
A04,N10,25.3,64.0
A04,N11,27.25,70.0
A04,N12,29.14,74.0
A05,A01,3.1,9.0
A05,A02,2.41,7.0
A05,A03,1.9,5.0
A05,A04,0.71,3.0
A05,A06,0.63,2.0
A05,A07,1.62,4.0
A05,A08,2.37,6.0
A05,A09,4.04,9.0
A05,A10,5.06,11.0
A05,A11,7.26,14.0
A05,A12,8.64,17.0
A05,A13,9.74,20.0
A05,A14,11.69,23.0
A05,A15,14.35,27.0
A05,B01,3.32,11.0
A05,B02,3.67,13.0
A05,B03,4.13,15.0
A05,B04,4.87,19.0
A05,B05,5.28,21.0
A05,B06,5.78,24.0
A05,B07,6.93,27.0
A05,B08,8.01,30.0
A05,B09,9.49,33.0
A05,B10,11.04,36.0
A05,B11,12.76,40.0
A05,B35,4.36,17.0
A05,C01,3.1,9.0
A05,C02,3.16,15.0
A05,C03,3.27,16.0
A05,C04,3.48,18.0
A05,C05,4.33,21.0
A05,C06,5.15,23.0
A05,C07,5.62,24.0
A05,C08,6.17,25.0
A05,C09,6.68,27.0
A05,C10,7.13,29.0
A05,C11,8.63,32.0
A05,C12,9.99,34.0
A05,C13,10.57,36.0
A05,C14,11.15,38.0
A05,C15,11.65,39.0
A05,D01,3.38,15.0
A05,D02,3.73,17.0
A05,D03,4.17,19.0
A05,D04,4.42,21.0
A05,D05,4.88,23.0
A05,D06,5.31,25.0
A05,D07,5.9,27.0
A05,D08,6.3,28.0
A05,D09,7.86,32.0
A05,D10,8.49,34.0
A05,D11,9.5,36.0
A05,D12,11.05,39.0
A05,D13,12.32,42.0
A05,E01,3.41,18.0
A05,E02,3.49,19.0
A05,E03,3.53,21.0
A05,E04,3.69,23.0
A05,E05,4.34,26.0
A05,E06,5.78,24.0
A05,E07,7.67,32.0
A05,E08,8.74,35.0
A05,E09,10.6,38.0
A05,E10,12.77,41.0
A05,F01,3.32,11.0
A05,F02,3.66,17.0
A05,F03,4.17,19.0
A05,F04,4.88,21.0
A05,F05,5.36,23.0
A05,F06,6.48,25.0
A05,F07,7.74,28.0
A05,F08,8.6,30.0
A05,F09,9.27,33.0
A05,F10,10.6,35.0
A05,F11,12.3,38.0
A05,G01,8.39,31.0
A05,G02,9.81,34.0
A05,G03,10.79,37.0
A05,G04,12.15,40.0
A05,G05,13.39,43.0
A05,J02,13.12,43.0
A05,J03,16.35,49.0
A05,K01,5.22,24.0
A05,K02,5.69,26.0
A05,K03,6.13,27.0
A05,K04,6.61,29.0
A05,K05,8.66,33.0
A05,K06,10.27,36.0
A05,K07,12.63,40.0
A05,K08,15.09,43.0
A05,N01,11.96,41.0
A05,N02,12.6,43.0
A05,N03,13.31,45.0
A05,N04,13.84,47.0
A05,N06,19.42,55.0
A05,N07,20.53,57.0
A05,N08,21.87,60.0
A05,N09,23.57,63.0
A05,N10,25.48,67.0
A05,N11,27.4,73.0
A05,N12,29.28,77.0
A06,A01,3.73,11.0
A06,A02,3.04,9.0
A06,A03,2.53,7.0
A06,A04,1.34,5.0
A06,A05,0.63,2.0
A06,A07,1.04,2.0
A06,A08,1.76,4.0
A06,A09,3.41,7.0
A06,A10,4.43,9.0
A06,A11,6.63,12.0
A06,A12,8.02,15.0
A06,A13,9.11,18.0
A06,A14,11.06,21.0
A06,A15,13.72,25.0
A06,B01,3.95,13.0
A06,B02,4.29,15.0
A06,B03,4.74,17.0
A06,B04,5.41,21.0
A06,B05,5.75,23.0
A06,B06,6.15,26.0
A06,B07,7.11,29.0
A06,B08,8.11,32.0
A06,B09,9.54,35.0
A06,B10,11.08,38.0
A06,B11,12.79,42.0
A06,B35,4.95,19.0
A06,C01,3.73,11.0
A06,C02,3.79,17.0
A06,C03,3.9,18.0
A06,C04,4.1,20.0
A06,C05,4.9,23.0
A06,C06,5.75,25.0
A06,C07,6.23,26.0
A06,C08,6.78,27.0
A06,C09,7.29,29.0
A06,C10,7.74,31.0
A06,C11,9.24,34.0
A06,C12,10.59,36.0
A06,C13,11.17,38.0
A06,C14,11.75,40.0
A06,C15,12.24,41.0
A06,D01,4.01,17.0
A06,D02,4.36,19.0
A06,D03,4.8,21.0
A06,D04,5.04,23.0
A06,D05,5.5,25.0
A06,D06,5.92,27.0
A06,D07,6.51,29.0
A06,D08,6.9,30.0
A06,D09,8.41,34.0
A06,D10,9.02,36.0
A06,D11,10.0,38.0
A06,D12,11.5,41.0
A06,D13,12.74,44.0
A06,E01,4.02,20.0
A06,E02,4.09,21.0
A06,E03,4.13,23.0
A06,E04,4.25,25.0
A06,E05,4.8,28.0
A06,E06,6.15,26.0
A06,E07,8.04,34.0
A06,E08,9.09,37.0
A06,E09,10.93,40.0
A06,E10,13.05,43.0
A06,F01,3.95,13.0
A06,F02,4.28,19.0
A06,F03,4.8,21.0
A06,F04,5.51,23.0
A06,F05,5.98,25.0
A06,F06,7.1,27.0
A06,F07,8.37,30.0
A06,F08,9.22,32.0
A06,F09,9.88,35.0
A06,F10,11.21,37.0
A06,F11,12.91,40.0
A06,G01,8.95,33.0
A06,G02,10.36,36.0
A06,G03,11.33,39.0
A06,G04,12.67,42.0
A06,G05,13.9,45.0
A06,J02,13.65,45.0
A06,J03,16.87,51.0
A06,K01,5.75,26.0
A06,K02,6.2,28.0
A06,K03,6.62,29.0
A06,K04,7.08,31.0
A06,K05,9.03,35.0
A06,K06,10.56,38.0
A06,K07,12.94,42.0
A06,K08,15.39,45.0
A06,N01,12.18,43.0
A06,N02,12.83,45.0
A06,N03,13.53,47.0
A06,N04,14.04,49.0
A06,N06,19.59,57.0
A06,N07,20.7,59.0
A06,N08,22.04,62.0
A06,N09,23.73,65.0
A06,N10,25.65,69.0
A06,N11,27.54,75.0
A06,N12,29.41,79.0
A07,A01,4.7,13.0
A07,A02,3.99,11.0
A07,A03,3.48,9.0
A07,A04,2.31,7.0
A07,A05,1.62,4.0
A07,A06,1.04,2.0
A07,A08,0.78,2.0
A07,A09,2.5,5.0
A07,A10,3.54,7.0
A07,A11,5.76,10.0
A07,A12,7.14,13.0
A07,A13,8.23,16.0
A07,A14,10.15,19.0
A07,A15,12.81,23.0
A07,B01,4.93,15.0
A07,B02,5.28,17.0
A07,B03,5.75,19.0
A07,B04,6.45,23.0
